timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777593309746,81,02 - GET /restaurants (search),200,OK,Virtual Users [500 threads] 1-15,text,true,,790,311,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,80,0,0
1777593309764,72,03 - POST /restaurants/20/reviews,401,Unauthorized,Virtual Users [500 threads] 1-14,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,447,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/20/reviews,72,0,0
1777593309725,141,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [500 threads] 1-17,text,false,Login failed — check credentials in users.csv,337,361,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,141,0,71
1777593309808,81,02 - GET /restaurants (search),200,OK,Virtual Users [500 threads] 1-16,text,true,,790,311,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,81,0,0
1777593309827,74,03 - POST /restaurants/20/reviews,401,Unauthorized,Virtual Users [500 threads] 1-15,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,447,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/20/reviews,74,0,0
1777593309782,150,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [500 threads] 1-18,text,false,Login failed — check credentials in users.csv,337,362,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,150,0,73
1777593309867,77,02 - GET /restaurants (search),200,OK,Virtual Users [500 threads] 1-17,text,true,,790,311,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,77,0,0
1777593309889,73,03 - POST /restaurants/20/reviews,401,Unauthorized,Virtual Users [500 threads] 1-16,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,447,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/20/reviews,73,0,0
1777593309847,143,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [500 threads] 1-19,text,false,Login failed — check credentials in users.csv,337,359,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,143,0,71
1777593309933,76,02 - GET /restaurants (search),200,OK,Virtual Users [500 threads] 1-18,text,true,,790,311,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,76,0,0
